,time,latitude,longitude,,water_depth,,
$SDODC,0:38:57,S42.23.4535,E177.02.8532,A,2669,M,A
$SDODC,0:39:07,S42.23.4315,E177.02.8859,A,2669,M,A
$SDODC,0:39:17,S42.23.4089,E177.02.9194,A,2669,M,A
$SDODC,0:39:27,S42.23.3868,E177.02.9524,A,2670.9,M,A
$SDODC,0:39:37,S42.23.3645,E177.02.9864,A,2670.9,M,A
$SDODC,0:39:47,S42.23.3424,E177.03.0197,A,2670.9,M,A
$SDODC,0:39:57,S42.23.3200,E177.03.0538,A,2670.9,M,A
$SDODC,0:40:07,S42.23.2981,E177.03.0872,A,2670.9,M,A
$SDODC,0:40:17,S42.23.2756,E177.03.1210,A,2670.9,M,A
$SDODC,0:40:27,S42.23.2535,E177.03.1540,A,2670.9,M,A
$SDODC,0:40:37,S42.23.2307,E177.03.1877,A,2670.9,M,A
$SDODC,0:40:47,S42.23.2087,E177.03.2206,A,2665.9,M,A
$SDODC,0:40:57,S42.23.1857,E177.03.2541,A,2665.9,M,A
$SDODC,0:41:07,S42.23.1634,E177.03.2867,A,2665.9,M,A
$SDODC,0:41:17,S42.23.1407,E177.03.3202,A,2665.9,M,A
$SDODC,0:41:27,S42.23.1184,E177.03.3529,A,2665.9,M,A
$SDODC,0:41:37,S42.23.0959,E177.03.3862,A,2665.9,M,A
$SDODC,0:41:47,S42.23.0736,E177.03.4193,A,2665.9,M,A
$SDODC,0:41:57,S42.23.0509,E177.03.4521,A,2665.9,M,A
$SDODC,0:42:07,S42.23.0284,E177.03.4850,A,2665.9,M,A
$SDODC,0:42:17,S42.23.0060,E177.03.5181,A,2665,M,A
$SDODC,0:42:27,S42.22.9834,E177.03.5508,A,2665,M,A
$SDODC,0:42:37,S42.22.9608,E177.03.5836,A,2665,M,A
$SDODC,0:42:47,S42.22.9383,E177.03.6169,A,2665,M,A
$SDODC,0:42:57,S42.22.9158,E177.03.6496,A,2665,M,A
$SDODC,0:43:07,S42.22.8929,E177.03.6826,A,2665,M,A
$SDODC,0:43:17,S42.22.8702,E177.03.7150,A,2665,M,A
$SDODC,0:43:27,S42.22.8472,E177.03.7475,A,2665,M,A
$SDODC,0:43:37,S42.22.8243,E177.03.7795,A,2665,M,A
$SDODC,0:43:47,S42.22.8008,E177.03.8116,A,2665,M,A
$SDODC,0:43:57,S42.22.7775,E177.03.8432,A,2665,M,A
$SDODC,0:44:07,S42.22.7542,E177.03.8754,A,2665,M,A
$SDODC,0:44:17,S42.22.7311,E177.03.9077,A,0,M,V
$SDODC,0:44:27,S42.22.7082,E177.03.9404,A,0,M,V
$SDODC,0:44:37,S42.22.6856,E177.03.9737,A,0,M,V
$SDODC,0:44:47,S42.22.6632,E177.04.0071,A,0,M,V
$SDODC,0:44:57,S42.22.6408,E177.04.0407,A,0,M,V
$SDODC,0:45:07,S42.22.6189,E177.04.0749,A,0,M,V
$SDODC,0:45:17,S42.22.5971,E177.04.1089,A,0,M,V
$SDODC,0:45:27,S42.22.5750,E177.04.1430,A,0,M,V
$SDODC,0:45:37,S42.22.5531,E177.04.1769,A,0,M,V
$SDODC,0:45:47,S42.22.5308,E177.04.2106,A,0,M,V
$SDODC,0:45:57,S42.22.5083,E177.04.2439,A,0,M,V
$SDODC,0:46:07,S42.22.4859,E177.04.2777,A,0,M,V
$SDODC,0:46:17,S42.22.4638,E177.04.3110,A,0,M,V
$SDODC,0:46:27,S42.22.4411,E177.04.3449,A,0,M,V
$SDODC,0:46:37,S42.22.4193,E177.04.3785,A,0,M,V
$SDODC,0:46:47,S42.22.3970,E177.04.4127,A,0,M,V
$SDODC,0:46:57,S42.22.3750,E177.04.4463,A,0,M,V
$SDODC,0:47:07,S42.22.3528,E177.04.4800,A,0,M,V
$SDODC,0:47:17,S42.22.3307,E177.04.5136,A,0,M,V
$SDODC,0:47:27,S42.22.3085,E177.04.5467,A,0,M,V
$SDODC,0:47:37,S42.22.2860,E177.04.5800,A,0,M,V
$SDODC,0:47:47,S42.22.2637,E177.04.6129,A,0,M,V
$SDODC,0:47:57,S42.22.2411,E177.04.6464,A,0,M,V
$SDODC,0:48:07,S42.22.2187,E177.04.6796,A,0,M,V
$SDODC,0:48:17,S42.22.1964,E177.04.7132,A,0,M,V
$SDODC,0:48:27,S42.22.1737,E177.04.7465,A,0,M,V
$SDODC,0:48:37,S42.22.1512,E177.04.7794,A,0,M,V
$SDODC,0:48:47,S42.22.1286,E177.04.8126,A,0,M,V
$SDODC,0:48:57,S42.22.1058,E177.04.8452,A,0,M,V
$SDODC,0:49:07,S42.22.0830,E177.04.8780,A,0,M,V
$SDODC,0:49:17,S42.22.0603,E177.04.9111,A,0,M,V
$SDODC,0:49:27,S42.22.0380,E177.04.9443,A,0,M,V
$SDODC,0:49:37,S42.22.0149,E177.04.9774,A,0,M,V
$SDODC,0:49:47,S42.21.9926,E177.05.0105,A,0,M,V
$SDODC,0:49:57,S42.21.9700,E177.05.0440,A,0,M,V
$SDODC,0:50:07,S42.21.9473,E177.05.0769,A,0,M,V
$SDODC,0:50:17,S42.21.9250,E177.05.1109,A,0,M,V
$SDODC,0:50:27,S42.21.9027,E177.05.1444,A,0,M,V
$SDODC,0:50:37,S42.21.8804,E177.05.1782,A,0,M,V
$SDODC,0:50:47,S42.21.8584,E177.05.2122,A,0,M,V
$SDODC,0:50:57,S42.21.8358,E177.05.2457,A,0,M,V
$SDODC,0:51:07,S42.21.8136,E177.05.2792,A,0,M,V
$SDODC,0:51:17,S42.21.7912,E177.05.3128,A,0,M,V
$SDODC,0:51:27,S42.21.7688,E177.05.3459,A,0,M,V
$SDODC,0:51:37,S42.21.7461,E177.05.3794,A,0,M,V
$SDODC,0:51:47,S42.21.7236,E177.05.4123,A,0,M,V
$SDODC,0:51:57,S42.21.7009,E177.05.4455,A,0,M,V
$SDODC,0:52:07,S42.21.6784,E177.05.4786,A,0,M,V
$SDODC,0:52:17,S42.21.6555,E177.05.5115,A,0,M,V
$SDODC,0:52:27,S42.21.6327,E177.05.5444,A,0,M,V
$SDODC,0:52:37,S42.21.6100,E177.05.5776,A,0,M,V
$SDODC,0:52:47,S42.21.5874,E177.05.6105,A,0,M,V
$SDODC,0:52:57,S42.21.5645,E177.05.6436,A,0,M,V
$SDODC,0:53:07,S42.21.5420,E177.05.6769,A,0,M,V
$SDODC,0:53:17,S42.21.5196,E177.05.7105,A,0,M,V
$SDODC,0:53:27,S42.21.4973,E177.05.7441,A,0,M,V
$SDODC,0:53:37,S42.21.4751,E177.05.7780,A,0,M,V
$SDODC,0:53:47,S42.21.4530,E177.05.8117,A,0,M,V
$SDODC,0:53:57,S42.21.4307,E177.05.8455,A,0,M,V
$SDODC,0:54:07,S42.21.4085,E177.05.8792,A,0,M,V
$SDODC,0:54:17,S42.21.3861,E177.05.9126,A,0,M,V
$SDODC,0:54:27,S42.21.3636,E177.05.9457,A,0,M,V
$SDODC,0:54:37,S42.21.3409,E177.05.9787,A,0,M,V
$SDODC,0:54:47,S42.21.3183,E177.06.0116,A,0,M,V
$SDODC,0:54:57,S42.21.2954,E177.06.0440,A,0,M,V
$SDODC,0:55:07,S42.21.2724,E177.06.0766,A,0,M,V
$SDODC,0:55:17,S42.21.2497,E177.06.1089,A,0,M,V
$SDODC,0:55:27,S42.21.2270,E177.06.1417,A,0,M,V
$SDODC,0:55:37,S42.21.2046,E177.06.1742,A,0,M,V
$SDODC,0:55:47,S42.21.1819,E177.06.2069,A,0,M,V
$SDODC,0:55:57,S42.21.1595,E177.06.2394,A,0,M,V
$SDODC,0:56:07,S42.21.1369,E177.06.2722,A,0,M,V
$SDODC,0:56:17,S42.21.1144,E177.06.3047,A,0,M,V
$SDODC,0:56:27,S42.21.0917,E177.06.3378,A,0,M,V
$SDODC,0:56:37,S42.21.0696,E177.06.3705,A,0,M,V
$SDODC,0:56:47,S42.21.0469,E177.06.4040,A,0,M,V
$SDODC,0:56:57,S42.21.0249,E177.06.4368,A,0,M,V
$SDODC,0:57:07,S42.21.0024,E177.06.4704,A,0,M,V
$SDODC,0:57:17,S42.20.9809,E177.06.5036,A,0,M,V
$SDODC,0:57:27,S42.20.9585,E177.06.5375,A,0,M,V
